Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.533,0.434,0.148,0.671,0.284,0.155,0.214,10
M,0.563,0.454,0.159,0.989,0.433,0.214,0.269,7
M,0.59,0.49,0.154,1.025,0.446,0.247,0.31,11
I,0.388,0.279,0.086,0.226,0.095,0.056,0.063,7
I,0.504,0.39,0.123,0.558,0.283,0.1,0.17,8
M,0.59,0.445,0.175,0.928,0.382,0.231,0.296,9
F,0.575,0.452,0.162,1.038,0.355,0.262,0.304,12
F,0.511,0.407,0.116,0.585,0.229,0.166,0.184,11
M,0.595,0.475,0.149,1.054,0.443,0.226,0.257,10
M,0.602,0.47,0.169,0.893,0.412,0.256,0.221,9
I,0.379,0.286,0.091,0.241,0.092,0.062,0.074,7
I,0.503,0.354,0.131,0.455,0.181,0.068,0.177,18
I,0.404,0.28,0.091,0.273,0.122,0.056,0.08,7
F,0.615,0.479,0.149,1.098,0.519,0.25,0.341,10
M,0.533,0.394,0.139,1.038,0.272,0.216,0.365,19
F,0.518,0.423,0.132,0.719,0.208,0.171,0.255,13
M,0.61,0.492,0.184,1.318,0.719,0.295,0.353,11
I,0.376,0.266,0.076,0.229,0.11,0.045,0.057,6
M,0.476,0.381,0.134,0.617,0.279,0.123,0.164,8
M,0.573,0.485,0.15,0.838,0.351,0.17,0.267,14
M,0.489,0.371,0.136,0.569,0.206,0.168,0.188,13
F,0.663,0.536,0.186,1.435,0.502,0.306,0.581,18
M,0.565,0.421,0.145,0.742,0.331,0.149,0.25,11
M,0.659,0.502,0.159,1.353,0.685,0.297,0.295,11
I,0.425,0.299,0.087,0.319,0.176,0.062,0.082,6
I,0.494,0.385,0.128,0.667,0.296,0.126,0.181,9
M,0.592,0.43,0.14,1.069,0.572,0.212,0.261,9
F,0.62,0.527,0.188,1.252,0.51,0.343,0.314,11
M,0.531,0.406,0.144,0.901,0.471,0.177,0.187,9
M,0.421,0.346,0.098,0.425,0.178,0.093,0.139,9
M,0.397,0.301,0.105,0.345,0.149,0.067,0.1,7
I,0.369,0.267,0.09,0.225,0.094,0.055,0.071,11
F,0.583,0.458,0.134,1.031,0.487,0.246,0.229,8
I,0.284,0.192,0.071,0.099,0.039,0.021,0.029,6
F,0.425,0.326,0.105,0.352,0.152,0.08,0.123,8
M,0.72,0.583,0.184,2.027,0.989,0.46,0.538,13
F,0.349,0.248,0.086,0.211,0.081,0.046,0.078,10
I,0.543,0.372,0.121,0.603,0.259,0.158,0.142,10
I,0.248,0.195,0.071,0.093,0.037,0.02,0.031,6
M,0.461,0.368,0.108,0.547,0.278,0.145,0.131,7
M,0.632,0.533,0.182,1.235,0.554,0.235,0.385,10
M,0.475,0.369,0.15,0.748,0.225,0.134,0.166,9
F,0.619,0.492,0.166,1.284,0.491,0.22,0.419,19
F,0.665,0.47,0.189,1.407,0.693,0.351,0.327,11
F,0.588,0.506,0.145,0.754,0.366,0.159,0.228,9
I,0.265,0.184,0.093,0.242,0.101,0.056,0.071,5
F,0.502,0.405,0.14,0.806,0.281,0.189,0.263,17
F,0.673,0.535,0.208,1.489,0.642,0.35,0.465,16
M,0.602,0.479,0.154,1.166,0.586,0.242,0.279,9
M,0.346,0.244,0.082,0.168,0.058,0.041,0.052,10
I,0.511,0.415,0.149,0.636,0.252,0.164,0.173,9
F,0.48,0.402,0.159,0.67,0.24,0.133,0.208,17
I,0.496,0.355,0.117,0.494,0.209,0.127,0.16,12
M,0.529,0.407,0.153,0.843,0.396,0.174,0.218,10
I,0.396,0.269,0.082,0.216,0.091,0.042,0.07,8
I,0.41,0.305,0.099,0.259,0.095,0.068,0.089,7
I,0.401,0.309,0.088,0.291,0.131,0.073,0.095,8
I,0.598,0.401,0.137,0.734,0.33,0.106,0.227,9
I,0.531,0.451,0.174,0.817,0.3,0.186,0.296,15
F,0.657,0.506,0.157,1.134,0.454,0.338,0.308,9
F,0.61,0.439,0.139,1.051,0.54,0.248,0.253,8
F,0.572,0.427,0.175,0.812,0.36,0.185,0.29,13
M,0.465,0.365,0.155,0.56,0.173,0.127,0.225,12
I,0.404,0.296,0.098,0.294,0.114,0.076,0.088,8
I,0.332,0.233,0.078,0.145,0.064,0.032,0.046,6
M,0.668,0.49,0.195,1.464,0.645,0.363,0.368,10
I,0.485,0.395,0.129,0.613,0.296,0.132,0.167,8
I,0.539,0.443,0.15,0.884,0.414,0.174,0.239,10
F,0.619,0.464,0.168,0.864,0.355,0.198,0.259,11
I,0.552,0.426,0.131,0.712,0.362,0.156,0.195,8
F,0.568,0.456,0.097,0.951,0.424,0.211,0.246,12
I,0.3,0.206,0.072,0.122,0.056,0.028,0.037,7
F,0.539,0.425,0.138,0.851,0.347,0.166,0.262,10
M,0.513,0.377,0.122,0.597,0.258,0.131,0.148,9
M,0.626,0.483,0.152,1.323,0.498,0.313,0.295,14
M,0.235,0.172,0.064,0.067,0.023,0.014,0.02,4
I,0.351,0.276,0.11,0.226,0.095,0.05,0.081,10
M,0.576,0.438,0.175,0.866,0.348,0.195,0.254,11
I,0.503,0.38,0.122,0.557,0.214,0.12,0.172,9
F,0.408,0.296,0.119,0.302,0.131,0.058,0.094,13
F,0.61,0.437,0.172,1.036,0.39,0.333,0.314,14
F,0.494,0.37,0.126,0.429,0.171,0.08,0.135,9
I,0.362,0.289,0.1,0.247,0.094,0.066,0.075,7
I,0.329,0.257,0.074,0.139,0.056,0.034,0.048,5
M,0.566,0.438,0.157,0.975,0.411,0.278,0.242,11
M,0.677,0.505,0.162,1.51,0.585,0.311,0.365,18
F,0.614,0.483,0.158,1.022,0.362,0.19,0.351,16
I,0.538,0.44,0.149,0.771,0.37,0.183,0.236,11
F,0.633,0.51,0.179,1.278,0.639,0.269,0.343,10
M,0.479,0.37,0.121,0.617,0.344,0.141,0.139,8
M,0.494,0.381,0.148,0.839,0.34,0.186,0.258,14
I,0.644,0.529,0.188,1.634,0.592,0.336,0.539,18
I,0.48,0.357,0.112,0.503,0.226,0.122,0.129,9
F,0.555,0.416,0.158,0.833,0.237,0.173,0.238,19
I,0.376,0.264,0.097,0.3,0.143,0.064,0.085,5
F,0.48,0.403,0.126,0.549,0.223,0.123,0.166,11
M,0.574,0.463,0.123,0.871,0.374,0.174,0.228,15
F,0.534,0.385,0.113,0.608,0.302,0.129,0.146,6
I,0.442,0.337,0.109,0.4,0.157,0.07,0.131,12
I,0.346,0.261,0.082,0.197,0.075,0.053,0.053,6
F,0.647,0.461,0.232,1.097,0.396,0.245,0.357,14
F,0.475,0.365,0.126,0.59,0.255,0.124,0.143,7
M,0.645,0.466,0.118,0.848,0.463,0.187,0.226,10
F,0.584,0.438,0.175,1.213,0.511,0.255,0.303,10
M,0.607,0.443,0.155,1.069,0.423,0.199,0.333,10
M,0.64,0.591,0.192,1.679,0.759,0.326,0.453,12
M,0.582,0.492,0.158,1.069,0.459,0.237,0.309,9
I,0.351,0.259,0.089,0.203,0.109,0.036,0.049,5
F,0.656,0.507,0.165,1.623,0.814,0.35,0.382,9
M,0.644,0.508,0.18,1.267,0.596,0.315,0.362,9
I,0.595,0.466,0.147,0.884,0.444,0.193,0.242,11
I,0.545,0.411,0.177,0.76,0.3,0.159,0.211,20
F,0.743,0.545,0.18,1.54,0.627,0.341,0.442,10
F,0.547,0.419,0.159,0.839,0.362,0.216,0.254,9
M,0.552,0.424,0.123,0.68,0.347,0.166,0.135,9
I,0.303,0.232,0.067,0.149,0.057,0.032,0.049,7
F,0.598,0.463,0.15,1.118,0.477,0.218,0.345,10
F,0.542,0.394,0.154,1.24,0.627,0.271,0.299,10
I,0.389,0.316,0.097,0.362,0.2,0.051,0.083,6
I,0.145,0.102,0.026,0.015,0.005,0.004,0.005,2
F,0.625,0.483,0.184,1.084,0.454,0.259,0.331,9
I,0.308,0.241,0.074,0.127,0.05,0.029,0.034,6
F,0.516,0.385,0.173,0.583,0.241,0.128,0.182,11
M,0.578,0.467,0.163,1.098,0.509,0.247,0.283,9
F,0.575,0.469,0.153,1.151,0.569,0.197,0.301,9
F,0.511,0.393,0.135,0.589,0.239,0.118,0.199,12
M,0.51,0.397,0.125,0.717,0.281,0.161,0.186,11
I,0.544,0.383,0.137,0.72,0.244,0.144,0.263,18
I,0.388,0.263,0.088,0.227,0.105,0.048,0.063,7
I,0.313,0.234,0.071,0.133,0.057,0.032,0.041,8
F,0.606,0.468,0.152,1.23,0.613,0.241,0.315,13
F,0.493,0.388,0.129,0.646,0.24,0.161,0.204,15
I,0.406,0.304,0.093,0.31,0.141,0.051,0.093,7
F,0.507,0.382,0.102,0.577,0.221,0.111,0.194,9
F,0.568,0.402,0.182,0.772,0.245,0.182,0.286,10
F,0.585,0.434,0.164,0.966,0.441,0.26,0.291,11
F,0.613,0.463,0.147,0.944,0.452,0.199,0.255,11
F,0.594,0.458,0.118,0.996,0.427,0.17,0.266,12
I,0.467,0.355,0.095,0.454,0.249,0.075,0.127,8
M,0.629,0.466,0.154,1.196,0.484,0.259,0.283,15
I,0.518,0.37,0.129,0.514,0.225,0.106,0.165,9
I,0.646,0.495,0.186,1.303,0.617,0.284,0.327,11
M,0.577,0.471,0.164,1.12,0.505,0.233,0.327,9
F,0.632,0.498,0.158,1.203,0.49,0.265,0.336,11
F,0.691,0.533,0.173,1.273,0.618,0.236,0.316,9
F,0.557,0.445,0.136,0.74,0.361,0.181,0.192,9
M,0.579,0.452,0.148,0.888,0.4,0.165,0.26,8
M,0.594,0.512,0.17,1.236,0.624,0.296,0.32,11
F,0.553,0.438,0.203,0.827,0.402,0.171,0.231,9
F,0.56,0.446,0.157,0.907,0.449,0.168,0.22,8
M,0.429,0.308,0.12,0.399,0.068,0.088,0.12,12
M,0.536,0.444,0.154,0.865,0.303,0.157,0.351,15
M,0.589,0.441,0.159,1.004,0.373,0.186,0.337,13
I,0.28,0.212,0.081,0.107,0.04,0.029,0.029,4
M,0.565,0.474,0.198,1.194,0.384,0.248,0.367,17
I,0.472,0.321,0.1,0.356,0.369,0.08,0.109,8
I,0.326,0.26,0.078,0.198,0.077,0.037,0.066,7
I,0.523,0.372,0.123,0.569,0.29,0.101,0.136,8
I,0.565,0.41,0.131,0.747,0.296,0.165,0.224,10
I,0.253,0.188,0.056,0.071,0.029,0.017,0.02,4
I,0.343,0.254,0.077,0.191,0.069,0.043,0.055,7
I,0.391,0.296,0.099,0.226,0.09,0.037,0.078,6
I,0.533,0.38,0.122,0.517,0.233,0.112,0.171,8
F,0.447,0.362,0.115,0.475,0.207,0.113,0.112,6
M,0.635,0.458,0.173,1.067,0.443,0.321,0.288,9
I,0.507,0.379,0.139,0.611,0.285,0.126,0.195,9
M,0.557,0.461,0.153,0.879,0.393,0.223,0.232,8
M,0.6,0.485,0.144,1.228,0.553,0.234,0.272,13
M,0.63,0.443,0.167,0.992,0.5,0.205,0.267,10
F,0.59,0.49,0.188,1.381,0.496,0.391,0.339,9
M,0.331,0.254,0.096,0.181,0.076,0.044,0.059,7
M,0.42,0.31,0.121,0.354,0.113,0.058,0.132,18
M,0.636,0.488,0.144,1.157,0.447,0.228,0.384,15
F,0.639,0.524,0.176,1.215,0.463,0.278,0.371,13
F,0.591,0.524,0.162,1.105,0.475,0.255,0.35,11
F,0.466,0.353,0.138,0.523,0.169,0.122,0.176,13
I,0.334,0.254,0.088,0.172,0.073,0.039,0.058,9
M,0.676,0.53,0.158,1.456,0.699,0.305,0.406,11
I,0.387,0.326,0.087,0.267,0.116,0.06,0.074,6
M,0.605,0.471,0.158,0.984,0.434,0.224,0.294,9
M,0.532,0.417,0.181,1.043,0.375,0.237,0.334,18
M,0.65,0.484,0.15,1.191,0.551,0.315,0.295,11
M,0.523,0.384,0.139,0.716,0.388,0.156,0.185,7
M,0.619,0.483,0.154,1.166,0.625,0.228,0.239,9
M,0.57,0.487,0.155,0.985,0.396,0.186,0.26,20
M,0.559,0.429,0.127,0.865,0.438,0.215,0.22,9
I,0.522,0.387,0.124,0.664,0.318,0.137,0.166,8
F,0.528,0.389,0.149,0.794,0.362,0.17,0.209,14
F,0.602,0.401,0.161,0.704,0.292,0.139,0.196,12
M,0.619,0.472,0.179,1.128,0.477,0.195,0.372,10
M,0.607,0.457,0.176,1.167,0.466,0.353,0.313,11
M,0.627,0.48,0.162,0.98,0.432,0.18,0.296,11
I,0.228,0.187,0.055,0.053,0.023,0.013,0.019,4
F,0.514,0.39,0.128,0.55,0.188,0.133,0.178,9
M,0.584,0.43,0.14,0.816,0.413,0.155,0.232,9
F,0.559,0.467,0.15,0.849,0.355,0.206,0.237,10
F,0.525,0.394,0.155,0.647,0.247,0.2,0.164,9
I,0.252,0.208,0.072,0.104,0.04,0.04,0.035,5
I,0.422,0.314,0.091,0.389,0.218,0.073,0.086,6
F,0.744,0.563,0.178,1.588,0.719,0.326,0.495,12
M,0.358,0.258,0.079,0.192,0.081,0.039,0.061,9
M,0.61,0.503,0.167,1.398,0.544,0.298,0.39,10
M,0.632,0.503,0.201,1.675,0.615,0.355,0.461,17
F,0.592,0.47,0.141,1.418,0.591,0.191,0.304,9
I,0.543,0.385,0.137,0.714,0.244,0.163,0.253,10
M,0.731,0.518,0.182,1.718,0.715,0.451,0.336,14
F,0.544,0.44,0.16,0.747,0.314,0.163,0.246,15
M,0.606,0.503,0.162,1.202,0.51,0.243,0.394,11
M,0.461,0.358,0.098,0.464,0.183,0.091,0.176,8
M,0.299,0.222,0.077,0.125,0.044,0.033,0.045,9
M,0.432,0.372,0.113,0.458,0.203,0.105,0.156,8
I,0.473,0.351,0.134,0.461,0.165,0.083,0.161,9
F,0.599,0.484,0.144,1.182,0.518,0.257,0.309,9
F,0.587,0.482,0.163,1.125,0.376,0.254,0.334,17
F,0.697,0.539,0.22,1.926,0.829,0.405,0.461,11
M,0.495,0.379,0.142,0.596,0.269,0.164,0.151,7
F,0.588,0.481,0.166,1.019,0.454,0.207,0.309,19
I,0.397,0.297,0.096,0.269,0.119,0.058,0.098,6
I,0.249,0.181,0.062,0.082,0.036,0.018,0.021,4
M,0.595,0.47,0.186,1.275,0.591,0.318,0.308,12
I,0.451,0.354,0.11,0.4,0.186,0.084,0.112,8
I,0.325,0.235,0.075,0.149,0.059,0.033,0.043,5
M,0.531,0.427,0.146,0.852,0.287,0.196,0.257,10
M,0.577,0.449,0.151,0.968,0.391,0.155,0.348,17
I,0.552,0.472,0.143,0.933,0.538,0.164,0.245,9
F,0.512,0.406,0.135,0.689,0.278,0.138,0.205,11
I,0.417,0.312,0.098,0.122,0.107,0.069,0.085,7
M,0.35,0.258,0.102,0.218,0.091,0.047,0.069,6
I,0.411,0.298,0.103,0.27,0.104,0.056,0.082,7
I,0.374,0.255,0.089,0.196,0.098,0.035,0.058,7
F,0.691,0.567,0.196,1.994,0.751,0.434,0.508,13
I,0.448,0.352,0.123,0.406,0.12,0.064,0.158,19
F,0.665,0.473,0.172,1.132,0.534,0.251,0.296,10
I,0.366,0.314,0.093,0.297,0.151,0.062,0.07,7
F,0.595,0.473,0.153,1.028,0.504,0.211,0.301,9
M,0.606,0.524,0.167,1.264,0.638,0.217,0.38,12
I,0.242,0.194,0.065,0.068,0.026,0.018,0.023,5
F,0.505,0.378,0.163,0.561,0.239,0.121,0.188,9
M,0.661,0.566,0.182,1.535,0.656,0.292,0.513,12
I,0.255,0.184,0.067,0.078,0.029,0.016,0.032,5
I,0.142,0.105,0.034,0.014,0.005,0.004,0.005,4
M,0.609,0.456,0.139,0.978,0.386,0.216,0.372,14
F,0.577,0.41,0.141,0.943,0.51,0.2,0.223,7
F,0.521,0.407,0.135,0.697,0.317,0.135,0.177,9
I,0.442,0.322,0.11,0.367,0.171,0.099,0.109,8
M,0.481,0.377,0.138,0.567,0.216,0.096,0.213,15
M,0.704,0.571,0.206,1.478,0.886,0.406,0.518,9
F,0.459,0.358,0.125,0.491,0.19,0.118,0.143,10
M,0.593,0.437,0.149,0.847,0.344,0.218,0.258,9
M,0.397,0.291,0.114,0.339,0.171,0.082,0.106,6
I,0.381,0.259,0.081,0.261,0.125,0.037,0.07,6
F,0.635,0.48,0.158,1.211,0.485,0.242,0.314,10
M,0.573,0.446,0.125,0.812,0.352,0.178,0.215,9
I,0.567,0.404,0.133,0.843,0.353,0.135,0.249,11
I,0.372,0.288,0.143,0.218,0.094,0.044,0.064,6
F,0.486,0.39,0.131,0.592,0.22,0.132,0.234,15
I,0.482,0.39,0.111,0.482,0.193,0.087,0.143,8
I,0.356,0.27,0.088,0.259,0.122,0.063,0.064,6
I,0.494,0.419,0.135,0.605,0.314,0.118,0.151,8
F,0.613,0.465,0.156,1.093,0.597,0.223,0.259,11
M,0.38,0.307,0.078,0.268,0.095,0.042,0.097,7
F,0.548,0.482,0.201,0.969,0.401,0.253,0.459,8
F,0.6,0.506,0.182,1.365,0.712,0.267,0.442,11
M,0.639,0.538,0.18,1.247,0.481,0.271,0.398,14
I,0.332,0.239,0.075,0.164,0.074,0.03,0.044,6
F,0.638,0.481,0.165,1.296,0.661,0.228,0.334,9
F,0.539,0.411,0.124,0.92,0.256,0.141,0.34,16
F,0.625,0.496,0.16,1.073,0.499,0.234,0.334,9
I,0.56,0.402,0.13,0.688,0.338,0.151,0.176,9
M,0.613,0.517,0.193,1.243,0.527,0.281,0.388,18
M,0.438,0.313,0.083,0.411,0.143,0.106,0.133,8
F,0.627,0.473,0.162,1.247,0.57,0.272,0.343,8
F,0.624,0.453,0.178,1.25,0.57,0.311,0.346,8
I,0.373,0.288,0.088,0.252,0.097,0.069,0.073,6
M,0.605,0.454,0.179,1.211,0.632,0.269,0.315,9
I,0.353,0.257,0.072,0.155,0.069,0.033,0.048,6
I,0.557,0.39,0.13,0.615,0.278,0.116,0.188,8
I,0.167,0.105,0.025,0.02,0.007,0.005,0.006,4
I,0.582,0.45,0.175,0.987,0.361,0.232,0.319,10
F,0.46,0.41,0.159,0.756,0.298,0.15,0.247,8
I,0.308,0.214,0.082,0.172,0.088,0.035,0.048,5
F,0.578,0.444,0.156,1.12,0.539,0.25,0.277,8
M,0.622,0.466,0.142,1.083,0.481,0.245,0.324,10
F,0.437,0.34,0.131,0.425,0.177,0.112,0.11,9
F,0.615,0.502,0.182,1.306,0.536,0.31,0.368,12
M,0.572,0.433,0.163,1.069,0.544,0.217,0.236,9
M,0.713,0.538,0.199,1.73,0.88,0.326,0.399,10
F,0.544,0.477,0.184,1.306,0.342,0.22,0.423,12
M,0.674,0.556,0.21,1.752,0.845,0.373,0.414,11
M,0.6,0.442,0.148,1.082,0.519,0.201,0.32,10
F,0.652,0.503,0.17,1.096,0.573,0.255,0.292,11
I,0.413,0.338,0.12,0.374,0.153,0.1,0.114,9
F,0.606,0.524,0.162,1.289,0.599,0.307,0.3,9
M,0.713,0.541,0.154,1.693,0.612,0.254,0.525,18
M,0.63,0.481,0.167,1.2,0.621,0.266,0.304,12
F,0.633,0.551,0.162,1.673,0.658,0.29,0.529,12
I,0.481,0.338,0.112,0.6,0.255,0.107,0.185,8
M,0.734,0.582,0.239,2.855,1.107,0.43,0.86,16
M,0.471,0.365,0.162,1.016,0.458,0.211,0.254,8
M,0.629,0.481,0.135,0.942,0.406,0.211,0.326,10
M,0.633,0.503,0.23,1.49,0.481,0.383,0.56,12
F,0.472,0.39,0.11,0.643,0.174,0.163,0.235,13
I,0.529,0.419,0.156,0.736,0.3,0.139,0.281,10
M,0.57,0.448,0.151,0.864,0.353,0.21,0.241,8
M,0.625,0.495,0.172,1.409,0.629,0.278,0.361,11
M,0.73,0.605,0.212,2.028,0.816,0.408,0.603,10
M,0.764,0.616,0.192,2.484,1.156,0.577,0.53,13
M,0.572,0.429,0.124,0.943,0.468,0.206,0.125,10
M,0.307,0.229,0.078,0.185,0.078,0.04,0.055,6
I,0.391,0.262,0.083,0.218,0.096,0.038,0.068,7
M,0.661,0.532,0.22,1.769,0.76,0.329,0.557,21
F,0.573,0.445,0.158,1.064,0.42,0.229,0.276,14
F,0.587,0.453,0.183,1.059,0.419,0.229,0.34,19
I,0.348,0.274,0.088,0.192,0.079,0.04,0.057,6
I,0.217,0.148,0.055,0.04,0.015,0.009,0.013,3
I,0.36,0.282,0.088,0.252,0.116,0.06,0.071,6
F,0.438,0.338,0.141,0.593,0.206,0.139,0.178,10
F,0.634,0.482,0.147,1.085,0.419,0.258,0.361,10
I,0.234,0.178,0.065,0.073,0.031,0.013,0.021,4
I,0.353,0.274,0.101,0.244,0.092,0.055,0.074,7
M,0.165,0.122,0.039,0.026,0.009,0.005,0.008,4
M,0.541,0.453,0.14,0.906,0.396,0.16,0.26,9
M,0.495,0.395,0.156,0.69,0.33,0.133,0.191,8
I,0.353,0.264,0.09,0.221,0.098,0.048,0.063,6
F,0.563,0.459,0.151,0.889,0.372,0.188,0.299,12
M,0.619,0.499,0.176,1.202,0.443,0.242,0.379,9
M,0.228,0.175,0.054,0.05,0.019,0.011,0.02,7
M,0.642,0.513,0.187,1.88,0.828,0.35,0.528,14
F,0.661,0.529,0.201,1.549,0.714,0.349,0.463,11
F,0.482,0.493,0.164,1.078,0.505,0.228,0.321,8
I,0.461,0.356,0.117,0.47,0.189,0.097,0.128,8
I,0.477,0.393,0.105,0.583,0.254,0.122,0.187,8
F,0.584,0.453,0.148,0.995,0.437,0.199,0.305,8
M,0.491,0.412,0.139,0.615,0.284,0.139,0.168,9
M,0.614,0.49,0.171,1.354,0.638,0.24,0.328,11
I,0.57,0.445,0.131,0.808,0.356,0.143,0.237,8
I,0.378,0.267,0.077,0.236,0.102,0.049,0.066,6
F,0.598,0.495,0.146,1.085,0.509,0.241,0.333,11
M,0.662,0.482,0.143,1.188,0.509,0.25,0.327,10
M,0.651,0.496,0.157,1.198,0.543,0.337,0.302,9
M,0.462,0.374,0.122,0.494,0.225,0.099,0.169,7
F,0.61,0.45,0.141,1.097,0.508,0.238,0.303,12
M,0.58,0.476,0.145,1.143,0.589,0.23,0.302,10
I,0.548,0.45,0.165,0.862,0.418,0.169,0.252,9
I,0.294,0.2,0.059,0.114,0.056,0.024,0.029,6
F,0.444,0.375,0.125,0.512,0.194,0.098,0.174,13
M,0.325,0.278,0.083,0.182,0.074,0.046,0.064,10
F,0.41,0.304,0.094,0.345,0.147,0.093,0.103,9
M,0.574,0.454,0.148,0.918,0.345,0.203,0.26,10
M,0.458,0.315,0.122,0.462,0.254,0.089,0.099,8
F,0.552,0.392,0.137,0.751,0.373,0.181,0.204,9
I,0.395,0.315,0.121,0.342,0.167,0.072,0.084,7
M,0.67,0.471,0.17,1.255,0.692,0.301,0.276,11
I,0.317,0.246,0.077,0.156,0.075,0.033,0.046,6
I,0.372,0.304,0.088,0.239,0.088,0.052,0.077,7
M,0.687,0.532,0.162,1.212,0.548,0.292,0.302,11
I,0.488,0.339,0.109,0.631,0.351,0.131,0.13,6
M,0.637,0.507,0.156,1.242,0.551,0.27,0.32,10
M,0.589,0.448,0.139,1.053,0.504,0.209,0.269,9
I,0.412,0.309,0.092,0.357,0.195,0.07,0.094,7
F,0.576,0.492,0.195,1.105,0.45,0.264,0.35,13
I,0.473,0.373,0.127,0.519,0.213,0.101,0.181,15
M,0.591,0.49,0.178,1.179,0.456,0.292,0.373,9
M,0.618,0.46,0.184,1.087,0.357,0.269,0.369,14
M,0.641,0.508,0.165,1.412,0.689,0.317,0.398,9
M,0.692,0.575,0.191,1.768,0.721,0.382,0.595,11
M,0.626,0.505,0.175,1.239,0.507,0.282,0.386,13
M,0.701,0.516,0.147,1.391,0.449,0.297,0.411,14
M,0.68,0.577,0.194,1.933,0.74,0.441,0.718,16
M,0.617,0.492,0.153,1.255,0.419,0.293,0.328,11
I,0.469,0.351,0.103,0.475,0.23,0.093,0.112,7
F,0.631,0.498,0.159,1.06,0.465,0.282,0.298,9
M,0.604,0.428,0.196,1.311,0.612,0.328,0.36,10
M,0.453,0.374,0.135,0.483,0.191,0.082,0.166,11
F,0.598,0.476,0.148,0.913,0.444,0.2,0.25,8
F,0.54,0.416,0.16,0.838,0.384,0.19,0.241,9
M,0.388,0.298,0.095,0.239,0.085,0.058,0.084,9
M,0.622,0.47,0.169,1.423,0.673,0.275,0.327,10
M,0.392,0.239,0.096,0.257,0.106,0.056,0.081,7
I,0.49,0.354,0.097,0.393,0.181,0.086,0.137,8
M,0.619,0.492,0.188,1.232,0.518,0.295,0.37,13
M,0.606,0.465,0.135,0.878,0.421,0.177,0.217,8
M,0.599,0.506,0.23,1.588,0.562,0.283,0.583,16
F,0.514,0.386,0.138,0.625,0.304,0.199,0.162,12
I,0.561,0.456,0.147,0.873,0.411,0.207,0.241,8
I,0.396,0.286,0.104,0.319,0.153,0.062,0.081,6
I,0.299,0.221,0.088,0.149,0.06,0.035,0.043,6
I,0.485,0.38,0.117,0.454,0.178,0.093,0.153,8
I,0.465,0.375,0.128,0.453,0.173,0.115,0.133,10
F,0.632,0.517,0.163,1.232,0.58,0.274,0.308,9
M,0.488,0.379,0.135,0.641,0.31,0.128,0.157,8
M,0.538,0.436,0.133,0.834,0.37,0.166,0.281,16
F,0.7,0.521,0.196,1.474,0.586,0.344,0.42,12
I,0.309,0.232,0.068,0.145,0.059,0.022,0.05,5
F,0.542,0.455,0.138,0.814,0.397,0.169,0.248,9
F,0.57,0.477,0.165,0.94,0.384,0.231,0.253,9
F,0.728,0.564,0.197,1.807,0.629,0.459,0.559,13
F,0.579,0.44,0.178,0.91,0.366,0.217,0.275,13
F,0.734,0.557,0.173,1.549,0.668,0.448,0.276,11
F,0.611,0.472,0.166,1.313,0.531,0.327,0.32,14
I,0.305,0.213,0.072,0.14,0.065,0.03,0.037,5
M,0.557,0.479,0.137,0.928,0.429,0.208,0.255,12
I,0.362,0.26,0.085,0.189,0.079,0.036,0.06,7
M,0.673,0.524,0.175,1.536,0.804,0.33,0.326,12
F,0.47,0.347,0.124,0.508,0.229,0.1,0.167,10
F,0.408,0.333,0.107,0.376,0.159,0.075,0.12,10
I,0.594,0.439,0.138,0.798,0.339,0.142,0.236,10
M,0.662,0.533,0.169,1.424,0.546,0.282,0.533,21
F,0.647,0.559,0.155,1.611,0.879,0.334,0.339,10
F,0.577,0.429,0.129,0.814,0.334,0.164,0.249,9
M,0.544,0.46,0.143,1.007,0.436,0.198,0.273,14
F,0.562,0.434,0.167,0.813,0.357,0.15,0.226,12
I,0.312,0.225,0.094,0.183,0.098,0.034,0.042,7
I,0.507,0.384,0.117,0.508,0.193,0.132,0.164,8
I,0.166,0.121,0.031,0.022,0.007,0.005,0.005,3
I,0.162,0.106,0.021,0.019,0.007,0.003,0.005,4
M,0.639,0.448,0.151,1.119,0.481,0.296,0.262,9
I,0.47,0.331,0.088,0.383,0.171,0.069,0.112,8
M,0.708,0.49,0.166,1.497,0.567,0.405,0.4,15
I,0.333,0.251,0.073,0.177,0.074,0.038,0.054,6
I,0.449,0.335,0.108,0.364,0.157,0.076,0.116,9
I,0.338,0.268,0.094,0.178,0.073,0.055,0.056,6
F,0.368,0.275,0.081,0.218,0.088,0.065,0.072,8
I,0.568,0.449,0.134,0.818,0.414,0.14,0.251,10
F,0.51,0.439,0.14,0.856,0.356,0.207,0.229,8
F,0.542,0.393,0.142,0.662,0.26,0.167,0.202,10
F,0.602,0.477,0.159,1.163,0.461,0.157,0.43,11
F,0.446,0.356,0.125,0.43,0.146,0.117,0.129,10
F,0.285,0.202,0.069,0.084,0.03,0.021,0.026,5
M,0.437,0.341,0.145,0.603,0.161,0.125,0.206,13
M,0.593,0.46,0.091,0.829,0.324,0.217,0.234,8
F,0.377,0.268,0.091,0.22,0.095,0.038,0.071,10
M,0.688,0.595,0.23,2.346,0.904,0.386,0.687,16
I,0.454,0.324,0.111,0.392,0.156,0.081,0.117,8
I,0.503,0.356,0.119,0.491,0.245,0.085,0.153,9
I,0.435,0.31,0.113,0.31,0.127,0.059,0.102,10
